target,rmse,mae,r2,alpha
target_att,146.94323934406742,125.26210244535785,0.24944329995317183,1.0
target_cmp,96.86395011310405,81.05069820168117,0.23381184684612555,1.0
target_g,4.173378589365467,3.411153502672166,0.1463556266687548,1.0
target_int,3.872480960795565,3.243004183055665,0.06470738333164716,1.0
target_td,9.132740623587077,7.103863421801522,0.2244612833719879,1.0
target_yds,1139.9613902943313,943.6795541673467,0.22689224478966552,1.0
target_att,146.81857335195386,124.53764454729871,0.25071629766777803,10.0
target_cmp,96.69295173718564,80.28577950519647,0.23651463327152522,10.0
target_g,4.051819109143401,3.4014512360255926,0.19536019799449877,10.0
target_int,3.8857906783695237,3.257636891818826,0.05826713305395603,10.0
target_td,8.892645106797469,6.831423413675667,0.2647023843541513,10.0
target_yds,1139.9639614388493,936.1896804167613,0.22688875734873093,10.0
target_att,148.0300925969196,123.88985603180504,0.23829938085900504,100.0
target_cmp,97.35280139730182,80.43042427079294,0.22605876216276433,100.0
target_g,3.9557653364285255,3.4185796176843595,0.2330581163417691,100.0
target_int,3.8392113381218937,3.2684015889347906,0.08070909687437333,100.0
target_td,8.757711883798002,6.837388032739751,0.2868472792950222,100.0
target_yds,1147.0730782629096,936.0454104558645,0.21721603783445564,100.0
target_att,151.92245544913476,125.51358762368622,0.1977158189096483,500.0
target_cmp,99.3880351102021,81.4739455000726,0.19336086053166424,500.0
target_g,4.028026807389394,3.4947640860700737,0.20478215141507394,500.0
target_int,3.79409664477785,3.2159206622676946,0.1021873876978131,500.0
target_td,8.930973068264725,7.09049796811054,0.2583503501537058,500.0
target_yds,1165.2193713081108,944.1840170332766,0.19225340285474224,500.0
target_att,153.2133430495665,127.19523528216797,0.18402385082212036,1000.0
target_cmp,99.85424236958158,81.53643123085004,0.1857755806419169,1000.0
target_g,4.076729399765726,3.558328244482932,0.1854360504828314,1000.0
target_int,3.7898522745058516,3.195031486189345,0.10419498954586992,1000.0
target_td,9.024349835483237,7.141339601144281,0.24276081051733267,1000.0
target_yds,1169.4471200766336,952.4074920882682,0.186381298473151,1000.0
